,Grouping,name,score,binary-artifacts,branch-protection,ci-tests,cii-best-practices,code-review,contributors,dangerous-workflow,dependency-update-tool,fuzzing,license,maintained,packaging,pinned-dependencies,sast,security-policy,signed-releases,token-permissions,vulnerabilities
85,Google,github.com/google/hs-wrapped,4.5,10,0,3,0,0,6,10,0,0,10,0,-1,10,-1,10,-1,0,10
86,Google,github.com/google/timecast,4.8,10,6,-1,0,0,10,10,0,0,10,0,-1,7,0,10,-1,0,10
87,Google,github.com/google/cronet-transport-for-okhttp,6.2,10,0,-1,0,10,0,10,0,-1,10,2,-1,10,-1,10,0,10,10
88,Google,github.com/google/kiosk-app-reference-implementation,5.2,9,0,-1,0,0,0,10,0,0,10,4,-1,10,0,10,-1,10,10
89,Google,github.com/google/device-infra,6.4,10,0,0,0,9,0,10,0,0,10,10,-1,10,0,10,-1,10,10
90,Google,github.com/google/gink,6.2,10,6,0,0,8,0,10,0,0,10,2,-1,10,0,10,-1,10,10
91,Google,github.com/google/tuneup.dart,4.9,10,0,8,0,5,10,10,0,0,10,0,-1,9,0,10,-1,0,10
92,Google,github.com/google/allocation-instrumenter,5.5,10,0,-1,0,10,3,10,0,0,10,0,-1,10,0,10,0,10,10
93,Google,github.com/google/java-monitoring-client-library,5.3,10,0,8,0,6,6,10,0,0,10,0,-1,10,0,10,0,10,10
94,Google,github.com/google/github-issue-mover,5.0,10,0,0,0,0,10,10,0,0,10,0,-1,7,0,10,-1,10,10
95,Google,github.com/google/googlesource-auth-tools,4.9,9,0,0,0,2,0,10,0,0,10,0,-1,10,0,10,-1,10,10
96,Google,github.com/google/mawfs,4.9,10,0,-1,0,0,3,10,0,0,10,0,-1,7,0,10,-1,10,10
97,Google,github.com/google/serde_json5,5.2,10,0,0,0,0,10,10,0,0,10,1,-1,10,0,10,-1,10,10
98,Google,github.com/google/reflow-list,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
99,Google,github.com/google/go-safeweb,5.8,10,6,10,0,9,10,10,0,0,10,0,-1,9,0,10,-1,0,10
100,Google,github.com/google/slothfs,5.1,10,0,0,0,2,3,10,0,0,10,0,-1,10,0,10,-1,10,10
101,Google,github.com/google/flutter_async_storage,5.2,10,0,-1,0,0,0,10,0,0,10,2,-1,10,0,10,-1,10,10
102,Google,github.com/google/nvidia_libs_test,4.9,10,0,0,0,0,3,10,0,0,10,0,-1,10,0,10,-1,10,10
103,Google,github.com/google/devtools-driver,5.6,10,0,-1,0,0,0,10,0,-1,10,0,-1,10,-1,10,-1,10,10
104,Google,github.com/google/mysql-protobuf,5.1,7,0,0,0,5,10,10,0,0,10,0,-1,7,0,10,-1,10,10
105,Google,github.com/google/skywater-pdk-libs-sky130_fd_sc_lp,5.5,10,3,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
106,Google,github.com/google/byterun,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
107,Google,github.com/google/structured_labels,5.2,10,0,-1,0,0,6,10,0,0,10,0,-1,10,0,10,-1,10,10
108,Google,github.com/google/rally,4.9,9,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
109,Google,github.com/google/play-licensing,5.1,9,0,0,0,3,3,10,0,0,10,0,-1,10,0,10,-1,10,10
110,Google,github.com/google/emu-control,5.5,10,0,-1,0,6,0,10,0,0,10,0,-1,10,0,10,-1,10,10
111,Google,github.com/google/firing-range,5.1,10,0,0,0,1,6,10,0,0,10,0,-1,10,0,10,-1,10,10
112,Google,github.com/google/gtm-currency-rates-sync,5.3,10,0,0,0,4,0,10,0,0,10,1,-1,10,0,10,-1,10,10
113,Google,github.com/google/tensorstore,5.8,10,0,-1,0,10,0,10,0,0,10,10,-1,9,0,10,-1,0,10
114,Google,github.com/google/llvm-project,4.6,0,0,-1,0,1,10,10,0,10,10,0,-1,2,0,10,-1,10,10
115,Google,github.com/google/kati,5.7,10,6,9,0,10,10,10,0,0,10,0,-1,7,0,10,-1,0,10
116,Google,github.com/google/huproxy,5.0,10,0,0,0,3,3,10,0,0,10,0,-1,7,0,10,-1,10,10
117,Google,github.com/google/shaderc,5.8,10,3,0,0,3,10,10,0,0,10,4,-1,7,0,10,-1,10,10
118,Google,github.com/google/TouchTime,4.9,9,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
119,Google,github.com/google/teknowledge,5.2,10,0,0,0,4,0,10,0,0,10,0,-1,10,0,10,-1,10,10
120,Google,github.com/google/eleventy-high-performance-blog,6.4,10,3,8,0,7,10,10,0,0,10,8,-1,9,9,10,-1,0,10
121,Google,github.com/google/gvisor,6.1,10,3,10,0,5,10,10,0,10,10,10,-1,0,0,10,-1,0,10
122,Google,github.com/google/password-sync-support-tool,4.6,10,0,0,0,0,0,10,0,0,10,1,-1,10,0,10,0,10,10
123,Google,github.com/google/vmregistry,5.0,10,0,-1,0,0,6,10,0,0,10,0,-1,7,0,10,-1,10,10
124,Google,github.com/google/crystalvalue,5.8,10,0,-1,0,10,0,10,0,0,10,2,-1,7,0,10,-1,10,10
125,Google,github.com/google/calblink,5.4,10,0,0,0,6,3,10,0,0,10,0,-1,10,0,10,-1,10,10
126,Google,github.com/google/decoupled_gaussian_process,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
127,Google,github.com/google/vscode-bigquery,4.7,10,0,0,0,3,0,10,0,0,10,0,-1,10,0,10,0,10,10
128,Google,github.com/google/tamperchrome,5.6,10,3,10,0,10,10,10,0,0,10,0,-1,7,10,10,0,0,10
129,Google,github.com/google/re2,6.1,10,0,-1,0,10,3,10,0,10,10,10,-1,4,0,10,-1,0,10
130,Google,github.com/google/lame-dns,4.9,9,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
131,Google,github.com/google/tsunami-security-scanner-callback-server,5.5,9,0,-1,0,7,0,10,0,0,10,0,-1,10,0,10,-1,10,10
132,Google,github.com/google/python-fire,5.2,10,0,6,0,8,10,10,0,0,10,1,-1,9,0,10,-1,0,10
133,Google,github.com/google/generativemloncloud,4.9,10,0,0,0,1,0,10,0,0,10,0,-1,10,0,10,-1,10,10
134,Google,github.com/google/http_prefetching,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
135,Google,github.com/google/telluride_decoding,5.2,10,0,-1,0,0,6,10,0,0,10,1,-1,10,0,10,-1,10,10
136,Google,github.com/google/uVkCompute,4.4,10,0,10,0,3,10,10,0,0,10,0,-1,2,0,10,-1,0,10
137,Google,github.com/google/usbinfo,4.4,10,0,1,0,4,3,10,0,0,10,0,-1,9,0,10,-1,0,10
138,Google,github.com/google/centipede,6.8,10,0,10,0,10,3,10,0,0,10,10,-1,10,0,10,-1,10,10
139,Google,github.com/google/dicomproxy,4.9,9,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
140,Google,github.com/google/szl,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
141,Google,github.com/google/semantic-release-replace-plugin,5.8,10,0,10,0,8,6,10,10,0,10,0,-1,7,0,10,-1,0,10
