,name,Grouping,score,binary-artifacts,branch-protection,ci-tests,cii-best-practices,code-review,contributors,dangerous-workflow,dependency-update-tool,fuzzing,license,maintained,packaging,pinned-dependencies,sast,security-policy,signed-releases,token-permissions,vulnerabilities
74,github.com/aio-libs/yarl,Python,6.5,10,3,10,0,10,10,10,10,0,10,10,10,7,8,0,0,0,10
75,github.com/aio-libs/yarl,Python,6.5,10,3,10,0,10,10,10,10,0,10,10,10,7,8,0,0,0,10
76,github.com/liris/websocket-client,Python,4.8,10,0,6,0,3,10,10,0,0,10,10,10,7,0,0,2.17391304347826,0,10
77,github.com/pallets/itsdangerous,Python,6.6,10,3,10,0,6,10,10,10,0,10,8,10,7,0,10,2.17391304347826,0,10
78,github.com/googleapis/google-resumable-media-python,Python,6.6,10,8,5,0,10,10,10,10,0,10,3,10,4,0,10,2.17391304347826,0,10
79,github.com/sybrenstuvel/python-rsa,Python,5.3,10,0,0,0,2,10,10,0,10,10,0,10,10,0,0,2.17391304347826,10,10
80,github.com/boto/boto3,Python,5.2,10,0,10,0,0,10,10,0,0,10,10,10,7,0,10,2.17391304347826,0,10
81,github.com/tkem/cachetools,Python,4.5,10,0,5,0,0,6,10,0,0,10,10,10,7,0,0,2.17391304347826,0,10
82,github.com/sqlalchemy/sqlalchemy,Python,5.6,10,3,10,0,0,10,10,0,10,10,10,10,7,0,10,0,0,10
83,github.com/apache/arrow,Python,6.4,10,3,10,0,9,10,10,0,0,10,10,10,7.09677419354839,0,10,2.17391304347826,0,10
84,github.com/etingof/pyasn1-modules,Python,5.4,10,0,10,0,7,10,10,0,0,10,0,10,10,0,0,2.17391304347826,10,10
85,github.com/boto/botocore,Python,5.8,10,6,10,0,1,10,10,0,0,10,10,10,7,0,10,2.17391304347826,0,10
86,github.com/requests/requests-oauthlib,Python,4.7,10,3,9,0,7,10,10,0,0,10,0,10,7,0,0,2.17391304347826,0,10
87,github.com/pygments/pygments,Python,5.5,10,0,10,0,4,10,10,0,10,10,10,10,5,0,0,2.17391304347826,0,10
88,github.com/pallets/click,Python,6.8,10,3,9,0,6,10,10,10,0,10,10,10,7,0,10,2.17391304347826,0,10
89,github.com/benediktschmitt/py-filelock,Python,6.8,10,0,9,0,7,10,10,10,0,10,10,10,7,0,10,2.17391304347826,0,10
90,github.com/certifi/python-certifi,Python,4.7,10,0,7,0,5,10,10,0,0,10,6,10,7,0,0,2.17391304347826,0,10
91,github.com/googlecloudplatform/google-auth-library-python,Python,7.9,10,7,0,0,10,10,10,10,0,10,10,10,5,0,10,2.17391304347826,10,10
92,github.com/microsoft/vscode,Python,6.7,7,8,10,0,10,10,10,0,0,10,10,10,5,7,10,2.17391304347826,0,10
93,github.com/googleapis/google-auth-library-python,Python,7.9,10,8,0,0,10,10,10,10,0,10,10,10,5,0,10,2.17391304347826,10,10
