,Grouping,name,score,binary-artifacts,branch-protection,ci-tests,cii-best-practices,code-review,contributors,dangerous-workflow,dependency-update-tool,fuzzing,license,maintained,packaging,pinned-dependencies,sast,security-policy,signed-releases,token-permissions,vulnerabilities
98,Apache,github.com/apache/commons-lang,7.6,10,0,-1,0,2,-1,10,10,-1,10,10,-1,7,-1,10,-1,9,10
99,Apache,github.com/apache/oozie,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
100,Apache,github.com/apache/commons-compress,6.0,0,0,10,0,3,10,10,10,0,10,10,-1,7,10,10,-1,0,10
101,Apache,github.com/apache/couchdb-snappy,5.7,10,0,7,0,3,10,10,0,0,10,2,-1,10,0,10,-1,10,10
102,Apache,github.com/apache/cxf-dosgi,5.2,10,0,0,0,1,10,10,0,0,10,0,-1,10,0,10,-1,10,10
103,Apache,github.com/apache/cordova-plugin-inappbrowser,5.6,10,0,9,0,8,10,10,0,0,10,5,-1,9,0,10,-1,0,10
104,Apache,github.com/apache/flex-blazeds,4.9,10,0,0,0,0,3,10,0,0,10,0,-1,10,0,10,-1,10,10
105,Apache,github.com/apache/openoffice,5.1,0,0,0,0,0,10,10,0,0,10,10,-1,10,0,10,-1,10,10
106,Apache,github.com/apache/kandula,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
107,Apache,github.com/apache/couchdb-config,5.9,10,0,8,0,6,10,10,0,0,10,1,-1,10,0,10,-1,10,10
108,Apache,github.com/apache/cordova-plugin-contacts,5.5,10,0,10,0,1,10,10,0,0,10,0,-1,10,0,10,-1,10,10
109,Apache,github.com/apache/echarts,6.6,10,6,9,0,10,10,10,0,0,10,10,-1,9,0,10,-1,0,10
110,Apache,github.com/apache/incubator-batchee,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
111,Apache,github.com/apache/karaf,5.7,0,0,10,0,6,10,10,0,0,10,10,-1,7,0,10,-1,10,10
112,Apache,github.com/apache/cordova-plugin-media,5.6,10,0,9,0,8,10,10,0,0,10,5,-1,9,0,10,-1,0,10
113,Apache,github.com/apache/maven-doxia,6.4,10,3,10,0,3,10,10,10,0,0,10,-1,10,0,10,-1,0,10
114,Apache,github.com/apache/airavata,5.9,10,0,-1,0,0,10,10,0,0,10,10,-1,-1,0,10,-1,10,10
