,Grouping,name,score,binary-artifacts,branch-protection,ci-tests,cii-best-practices,code-review,contributors,dangerous-workflow,dependency-update-tool,fuzzing,license,maintained,packaging,pinned-dependencies,sast,security-policy,signed-releases,token-permissions,vulnerabilities
62,JavaScript,github.com/sindresorhus/is-fullwidth-code-point,4.7,10,0,7,0,3,10,10,0,0,10,0,NaN,9,0,10,NaN,0,10
63,JavaScript,github.com/zertosh/loose-envify,4.9,10,0,10,0,0,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
64,JavaScript,github.com/jonschlinkert/kind-of,4.8,10,0,7,0,0,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
65,JavaScript,github.com/isaacs/once,3.7,10,0,3,0,0,6,10,0,0,10,0,NaN,9,0,0,NaN,0,10
66,JavaScript,github.com/Qix-/color-convert,4.4,10,0,8,0,3,10,10,0,0,10,3,NaN,9,0,0,NaN,0,10
67,JavaScript,github.com/Raynos/xtend,4.8,10,0,0,0,2,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
68,JavaScript,github.com/Microsoft/tslib,5.3,10,0,10,0,7,10,10,0,0,10,2,NaN,9,0,10,NaN,0,10
69,JavaScript,github.com/substack/node-concat-map,4.7,10,0,6.95454545454545,0,0,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
70,JavaScript,github.com/sindresorhus/pify,4.9,10,0,8,0,3,10,10,0,0,10,2,NaN,9,0,10,NaN,0,10
71,JavaScript,github.com/juliangruber/balanced-match,4.9,10,0,1,0,3,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
72,JavaScript,github.com/DefinitelyTyped/DefinitelyTyped,6.5,10,3,9,0,10,10,10,10,0,10,10,NaN,7,0,0,NaN,0,10
73,JavaScript,github.com/ljharb/qs,5.6,10,1,10,0,0,10,10,0,0,10,10,NaN,7,0.111111111111111,10,NaN,0,10
74,JavaScript,github.com/ChALkeR/safer-buffer,5.5,10,0,7,0,1,10,10,0,0,10,0,NaN,10,0.111111111111111,0,NaN,10,10
75,JavaScript,github.com/chalk/ansi-styles,4.7,10,0,7,0,3,10,10,0,0,10,0,NaN,9,0,10,NaN,0,10
76,JavaScript,github.com/calvinmetcalf/process-nextick-args,4.9,10,0,8,0,1,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
77,JavaScript,github.com/jonschlinkert/extend-shallow,4.9,10,0,10,0,0,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
78,JavaScript,github.com/ashtuchkin/iconv-lite,5.6,10,0,6,0,1,10,10,10,0,10,0,NaN,10,0,0,NaN,10,10
79,JavaScript,github.com/isaacs/node-graceful-fs,4.1,10,0,10,0,1,10,10,0,0,10,0,NaN,9,0,0,NaN,0,10
80,JavaScript,github.com/tapjs/signal-exit,4.8,10,8,8,0,3,10,10,0,0,10,0,NaN,9,0,0,NaN,0,10
81,JavaScript,github.com/isaacs/inherits,3.7,10,0,6.95454545454545,0,0,6,10,0,0,10,0,NaN,9,0,0,NaN,0,10
82,JavaScript,github.com/jonschlinkert/fill-range,4.9,10,0,10,0,1,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
83,JavaScript,github.com/npm/wrappy,4.8,10,0,6,0,1,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
84,JavaScript,github.com/jbgutierrez/path-parse,4.7,10,0,4,0,2,3,10,0,0,10,0,NaN,10,0,0,NaN,10,10
85,JavaScript,github.com/sindresorhus/is-stream,4.5,10,0,7,0,1,10,10,0,0,10,0,NaN,9,0,10,NaN,0,10
86,JavaScript,github.com/isaacs/node-glob,4.7,10,0,10,0,0,6,10,0,0,10,10,NaN,9,0,0,NaN,0,10
87,JavaScript,github.com/sindresorhus/p-limit,4.6,10,0,7,0,2,10,10,0,0,10,0,NaN,9,0,10,NaN,0,10
88,JavaScript,github.com/mozilla/source-map,5.6,10,0,9,0,8,10,10,0,0,10,1,NaN,10,0,0,NaN,10,10
89,JavaScript,github.com/tarruda/has,4.6,10,0,0,0,0,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
90,JavaScript,github.com/ljharb/get-intrinsic,5.0,10,1,10,0,0,10,10,0,0,10,6,NaN,7,0,10,NaN,0,10
91,JavaScript,github.com/sindresorhus/get-stream,4.7,10,0,7,0,3,10,10,0,0,10,0,NaN,9,0,10,NaN,0,10
92,JavaScript,github.com/ajv-validator/ajv,7.3,10,8,10,2,7,10,10,10,0,10,10,NaN,7,0,10,NaN,0,10
93,JavaScript,github.com/sindresorhus/p-locate,4.6,10,0,8,0,2,10,10,0,0,10,0,NaN,9,0,10,NaN,0,10
94,JavaScript,github.com/feross/safe-buffer,5.6,10,6,10,0,3,10,10,0,0,10,0,NaN,10,0,0,NaN,10,10
95,JavaScript,github.com/vercel/ms,5.7,10,6,10,0,6,10,10,0,0,10,10,NaN,7,0,0,NaN,0,10
96,JavaScript,github.com/isaacs/node-mkdirp,3.8,10,0,6.95454545454545,0,0,10,10,0,0,10,0,NaN,9,0,0,NaN,0,10
